"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5040","При ошибке загрузки отображается error-content, main-content скрыт","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","3856","Успешная авторизация обычного пользователя","smoke","2026-02-20","passed","2026-02-20","Авторизация в CRM","smoke/auth.smoke.spec.ts","",""
"","2547","Модальное окно восстановления пароля закрывается","smoke","2026-02-20","passed","2026-02-20","Авторизация в CRM","smoke/auth.smoke.spec.ts","",""
"","3049","Основной контент рендерится, error-content скрыт","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","3420","Подзаголовок отображается корректно","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","3002","Основные элементы страницы отображаются","smoke","2026-02-20","passed","2026-02-20","Авторизация в CRM","smoke/auth.smoke.spec.ts","",""
"","7819","Кнопка настроек отображается и кликабельна","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","4623","Успешная авторизация администратора","smoke","2026-02-20","passed","2026-02-20","Авторизация в CRM","smoke/auth.smoke.spec.ts","",""
"","2842","Кнопка ""Forgot password"" открывает модальное окно","smoke","2026-02-20","passed","2026-02-20","Авторизация в CRM","smoke/auth.smoke.spec.ts","",""
"","3047","График производительности отображается и табы переключаются","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","2701","Top Employees отображается","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","3064","Страница авторизации доступна и загружается","smoke","2026-02-20","passed","2026-02-20","Авторизация в CRM","smoke/auth.smoke.spec.ts","",""
"","3153","Таблица сотрудников отображается и можно открыть карточку сотрудника","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","2684","Фильтры по месяцам видимы и работают","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
"","3798","Проверка отображения карточек KPI","smoke","2026-02-20","passed","2026-02-20","Страница KPI","smoke/kpi.smoke.spec.ts","",""
